"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2021/12/22","09:48","-2.269","-","-1"
"2021/12/22","09:54","-2.218","-","-0.98"
"2021/12/22","10:00","-2.163","-","-0.92"
"2021/12/22","10:06","-2.105","-","-0.87"
"2021/12/22","10:12","-2.043","-","-0.84"
"2021/12/22","10:18","-1.978","-","-0.79"
"2021/12/22","10:24","-1.91","-","-0.75"
"2021/12/22","10:30","-1.84","-","-0.64"
"2021/12/22","10:36","-1.766","-","-0.61"
"2021/12/22","10:42","-1.69","-","-0.58"
"2021/12/22","10:48","-1.612","-","-0.46"
"2021/12/22","10:54","-1.532","-","-0.38"
"2021/12/22","11:00","-1.45","-","-0.32"
"2021/12/22","11:06","-1.367","-","-0.29"
"2021/12/22","11:12","-1.281","-","-0.23"
"2021/12/22","11:18","-1.194","-","-0.13"
"2021/12/22","11:24","-1.106","-","-0.09"
"2021/12/22","11:30","-1.016","-","-0.01"
"2021/12/22","11:36","-0.925","-","0.05"
"2021/12/22","11:42","-0.833","-","0.15"
"2021/12/22","11:48","-0.739","-","0.24"
"2021/12/22","11:54","-0.645","-","0.36"
"2021/12/22","12:00","-0.55","-","0.44"
"2021/12/22","12:06","-0.454","-","0.56"
"2021/12/22","12:12","-0.358","-","0.68"
"2021/12/22","12:18","-0.261","-","0.8"
"2021/12/22","12:24","-0.164","-","0.93"
"2021/12/22","12:30","-0.067","-","0.99"
"2021/12/22","12:36","0.029","-","1.1"
"2021/12/22","12:42","0.125","-","1.2"
"2021/12/22","12:48","0.221","-","1.29"
"2021/12/22","12:54","0.315","-","1.39"
"2021/12/22","13:00","0.409","-","1.51"
"2021/12/22","13:06","0.5","-","1.6"
"2021/12/22","13:12","0.59","-","1.71"
"2021/12/22","13:18","0.679","-","1.8"
"2021/12/22","13:24","0.764","-","1.87"
"2021/12/22","13:30","0.847","-","1.95"
"2021/12/22","13:36","0.928","-","2"
"2021/12/22","13:42","1.005","-","2.1"
"2021/12/22","13:48","1.079","-","2.19"
"2021/12/22","13:54","1.149","-","2.27"
"2021/12/22","14:00","1.216","-","2.36"
"2021/12/22","14:06","1.279","-","2.37"
"2021/12/22","14:12","1.338","-","2.41"
"2021/12/22","14:18","1.392","-","2.48"
"2021/12/22","14:24","1.443","-","2.55"
"2021/12/22","14:30","1.488","-","2.6"
"2021/12/22","14:36","1.53","-","2.63"
"2021/12/22","14:42","1.567","-","2.66"
"2021/12/22","14:48","1.599","-","2.66"
"2021/12/22","14:54","1.626","-","2.68"
"2021/12/22","15:00","1.649","-","2.69"
"2021/12/22","15:06","1.667","-","2.75"
"2021/12/22","15:12","1.68","-","2.78"
"2021/12/22","15:18","1.689","-","2.77"
"2021/12/22","15:24","1.693","-","2.77"
"2021/12/22","15:30","1.692","-","2.77"
"2021/12/22","15:36","1.686","-","2.77"
"2021/12/22","15:42","1.676","-","2.73"
"2021/12/22","15:48","1.66","-","2.77"
"2021/12/22","15:54","1.64","-","2.71"
"2021/12/22","16:00","1.616","-","2.67"
"2021/12/22","16:06","1.587","-","2.57"
"2021/12/22","16:12","1.553","-","2.5"
"2021/12/22","16:18","1.514","-","2.49"
"2021/12/22","16:24","1.471","-","2.44"
"2021/12/22","16:30","1.424","-","2.38"
"2021/12/22","16:36","1.372","-","2.27"
"2021/12/22","16:42","1.316","-","2.22"
"2021/12/22","16:48","1.256","-","2.16"
"2021/12/22","16:54","1.192","-","2.07"
"2021/12/22","17:00","1.124","-","2.04"
"2021/12/22","17:06","1.052","-","1.97"
"2021/12/22","17:12","0.977","-","1.92"
"2021/12/22","17:18","0.898","-","1.87"
"2021/12/22","17:24","0.816","-","1.81"
"2021/12/22","17:30","0.731","-","1.65"
"2021/12/22","17:36","0.644","-","1.48"
"2021/12/22","17:42","0.553","-","1.35"
"2021/12/22","17:48","0.46","-","1.29"
"2021/12/22","17:54","0.366","-","1.22"
"2021/12/22","18:00","0.269","-","1.07"
"2021/12/22","18:06","0.17","-","0.95"
"2021/12/22","18:12","0.071","-","0.82"
"2021/12/22","18:18","-0.03","-","0.76"
"2021/12/22","18:24","-0.132","-","0.66"
"2021/12/22","18:30","-0.235","-","0.55"
"2021/12/22","18:36","-0.338","-","0.46"
"2021/12/22","18:42","-0.442","-","0.36"
"2021/12/22","18:48","-0.545","-","0.24"
"2021/12/22","18:54","-0.648","-","0.15"
"2021/12/22","19:00","-0.751","-","0.01"
"2021/12/22","19:06","-0.852","-","-0.01"
"2021/12/22","19:12","-0.953","-","-0.11"
"2021/12/22","19:18","-1.053","-","-0.19"
"2021/12/22","19:24","-1.151","-","-0.34"
"2021/12/22","19:30","-1.248","-","-0.41"
"2021/12/22","19:36","-1.342","-","-0.48"
"2021/12/22","19:42","-1.434","-","-0.61"
"2021/12/22","19:48","-1.524","-","-0.69"
"2021/12/22","19:54","-1.611","-","-0.84"
"2021/12/22","20:00","-1.695","-","-0.94"
"2021/12/22","20:06","-1.776","-","-1"
"2021/12/22","20:12","-1.854","-","-0.99"
"2021/12/22","20:18","-1.927","-","-1.03"
"2021/12/22","20:24","-1.997","-","-1.09"
"2021/12/22","20:30","-2.063","-","-1.12"
"2021/12/22","20:36","-2.124","-","-1.23"
"2021/12/22","20:42","-2.181","-","-1.26"
"2021/12/22","20:48","-2.233","-","-1.33"
"2021/12/22","20:54","-2.28","-","-1.32"
"2021/12/22","21:00","-2.322","-","-1.38"
"2021/12/22","21:06","-2.359","-","-1.38"
"2021/12/22","21:12","-2.391","-","-1.33"
"2021/12/22","21:18","-2.418","-","-1.33"
"2021/12/22","21:24","-2.44","-","-1.34"
"2021/12/22","21:30","-2.456","-","-1.36"
"2021/12/22","21:36","-2.468","-","-1.4"
"2021/12/22","21:42","-2.475","-","-1.36"
"2021/12/22","21:48","-2.476","-","-1.39"
"2021/12/22","21:54","-2.474","-","-1.4"
"2021/12/22","22:00","-2.466","-","-1.4"
"2021/12/22","22:06","-2.455","-","-1.38"
"2021/12/22","22:12","-2.439","-","-1.39"
"2021/12/22","22:18","-2.419","-","-1.34"
"2021/12/22","22:24","-2.395","-","-1.33"
"2021/12/22","22:30","-2.368","-","-1.3"
"2021/12/22","22:36","-2.338","-","-1.3"
"2021/12/22","22:42","-2.304","-","-1.18"
"2021/12/22","22:48","-2.267","-","-1.11"
"2021/12/22","22:54","-2.228","-","-1.11"
"2021/12/22","23:00","-2.185","-","-1.05"
"2021/12/22","23:06","-2.141","-","-0.99"
"2021/12/22","23:12","-2.094","-","-0.98"
"2021/12/22","23:18","-2.044","-","-0.94"
"2021/12/22","23:24","-1.993","-","-0.95"
"2021/12/22","23:30","-1.94","-","-0.9"
"2021/12/22","23:36","-1.884","-","-0.8"
"2021/12/22","23:42","-1.827","-","-0.7"
"2021/12/22","23:48","-1.768","-","-0.62"
"2021/12/22","23:54","-1.707","-","-0.56"
